"","Group.1","Group.2","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyBodyAccJerkMag-mean()","fBodyBodyGyroMag-mean()","fBodyBodyGyroJerkMag-mean()"
"1","WALKING",1,0.270930665212121,-0.020230817160101,-0.104761765040404,0.693974683939394,0.00777971425858586,0.085685154,0.0755731645515152,-4.49481431313131e-05,-0.0111759712520202,-0.0488477878281818,-0.0763696122087879,0.108056515487879,-0.0965992429525253,-0.0430943244212121,-0.0681293543868687,-0.538895282784848,-0.538895282784848,-0.636279329787879,-0.610458862592929,-0.759661603838384,-0.612509920121212,-0.525354104728687,-0.664490722030303,-0.21793457943899,0.0392482176777778,0.0415553850194949,-0.634989809070707,-0.620258905515152,-0.740571647909091,-0.0477625828605051,-0.21053149910101,-0.124059742747778,-0.673496451707071,-0.714124456950505,-0.632541588181818,-0.0708246777050505,-0.166268757553535,-0.0519770305313131,-0.56844613849495,-0.605439045888889,-0.708172451848485,-0.77293493
"2","WALKING_UPSTAIRS",2,0.275387623838384,-0.0199912228207071,-0.111350074778788,0.679623818888889,0.00262155885959596,0.0954268729444444,0.0877627140787879,-0.0121832979436364,0.0258475896764646,-0.0644865999616162,-0.0674994689626263,0.0987319913333333,-0.100967030728283,-0.0350660366868687,-0.0777560367947475,-0.550842628767677,-0.550842628767677,-0.642825699929293,-0.611217407261616,-0.763180200505051,-0.613383485121212,-0.536661309080808,-0.66558250777404,-0.212615308808081,0.0291974211383838,0.0540417370650606,-0.642783478727273,-0.632060531313131,-0.741306938686869,-0.0636358813393939,-0.231883097718182,-0.126509639647475,-0.666276456625252,-0.715779978171717,-0.630652279192929,-0.0794328514979798,-0.149597461624242,-0.063374319259596,-0.578979030494949,-0.609817007056566,-0.706729604070707,-0.779877927606061
"3","WALKING_DOWNSTAIRS",3,0.275758627676768,-0.0148711873931313,-0.106847865985859,0.680920474242424,0.00577632280505051,0.0948462882121212,0.0837825920035354,-0.00134459550757576,0.000533462358989899,-0.0644076037181818,-0.060737580479798,0.0847425469242424,-0.0966376360757576,-0.0237768548858586,-0.0496204883969697,-0.557170840852525,-0.557170840852525,-0.64998767140404,-0.612933395515151,-0.763873832424242,-0.622085957232323,-0.556997765213535,-0.668487280075758,-0.218871609235354,0.0214264154727273,0.0445429816393939,-0.64917036959596,-0.648596378080808,-0.739165046,-0.0708033518292929,-0.209433962538384,-0.13001686439899,-0.670197240369697,-0.715239292222222,-0.647038523313131,-0.0695797140262626,-0.13347353643505,-0.0569891653363636,-0.588609091363636,-0.612393067343434,-0.701348791686869,-0.778721305555556
"4","SITTING",4,0.27694114959596,-0.0168133803151515,-0.109323995868687,0.669669161616162,0.0154533598565657,0.102526111759697,0.0931881732222222,0.000677927492929293,-0.00621182844515152,-0.0573032003737374,-0.0653580202121212,0.0985256876262626,-0.0953593452313131,-0.0512229845727273,-0.0221516241373737,-0.562459153719192,-0.562459153719192,-0.651312651476364,-0.611543200366667,-0.767820368181818,-0.608487218909091,-0.557200576747475,-0.672644411767677,-0.211573250625182,0.031965396379798,0.0686437264343434,-0.644000115131313,-0.639416767727273,-0.745308273787879,-0.0608981154707071,-0.182826063817172,-0.108291765867677,-0.676315530747475,-0.71661305652798,-0.635466152707071,-0.0897364308393939,-0.143168945479798,-0.0547479445525253,-0.584324085129293,-0.610827148909091,-0.702061932111111,-0.778225998151515
"5","STANDING",5,0.280382289191919,-0.0196057029629293,-0.112729742959596,0.698931055757576,-0.00336314833333334,0.0989568267525252,0.076496182045101,-0.0276963205228283,0.00207376604676768,-0.0425632240878788,-0.0773811543818182,0.103732336156566,-0.0850193915353535,-0.0588984270767677,-0.0564326396545455,-0.544421741324242,-0.544421741324242,-0.631952920166667,-0.619174594,-0.759190524686869,-0.598226971020202,-0.540425189090909,-0.663824035747475,-0.20966976809899,0.0188072575313131,0.0535776373387879,-0.625275127832323,-0.620338424022222,-0.737044678282828,-0.0375978997676768,-0.216306163604848,-0.109129976934343,-0.679727022580808,-0.708358384858586,-0.632530236358586,-0.0818848165757576,-0.11109300610101,-0.05716435035,-0.561277584929293,-0.587446535464646,-0.711966690707071,-0.768424004373737
"6","LAYING",6,0.280283194646465,-0.0185581384080808,-0.10920084219596,0.696198144040404,-0.00687749153737374,0.0940911510191919,0.0584428541010101,0.0142962046878687,-0.000579352747373738,-0.0411256551131313,-0.0602485578887879,0.0933105230070707,-0.0979136124808081,-0.040810784289899,-0.0659947968484848,-0.551481227014141,-0.551481227014141,-0.633463677978788,-0.614708492828283,-0.760537006464647,-0.611083232141414,-0.538408227970707,-0.658315785017172,-0.210895365048485,0.0235090490010101,0.0871012510470707,-0.63247143169697,-0.617729361865253,-0.725020866474748,-0.0333811128585859,-0.206528306802828,-0.10568513109899,-0.666699121059596,-0.710483925,-0.624816687726263,-0.0589721803811111,-0.124732480243434,-0.0416505809919192,-0.566169438464647,-0.590725569565657,-0.711399986010101,-0.769662781272727
"7","WALKING",7,0.255436287171717,-0.0158216569939394,-0.102867539333333,0.669042055050505,0.0018836244020202,0.107218233818182,0.0885178185414141,0.0296818838949495,0.000650445975757576,-0.0378280904929293,-0.0699022566867677,0.0896713607984849,-0.0974159524848485,-0.0451854176666667,-0.058548669159596,-0.538275179522687,-0.538275179522687,-0.634987759643434,-0.598478337365657,-0.759040024474747,-0.606780432749495,-0.523379100414141,-0.660095593721212,-0.199572170552525,0.0414869405919192,0.0748262131333333,-0.643744266645455,-0.610976190050505,-0.734966618771717,-0.0544251241818182,-0.204201168919192,-0.115685703286869,-0.668881140939394,-0.715769737292929,-0.621555132033333,-0.0951108418171717,-0.173751537279798,-0.0654864038787879,-0.560823786410101,-0.603416895232323,-0.702212682919192,-0.777536356888889
"8","WALKING_UPSTAIRS",8,0.28061365377551,-0.0117326764544898,-0.112857936030612,0.687735012755102,-0.0186782021468776,0.105340354754082,0.0749193468469388,-0.0085094270794898,0.00179517516959184,-0.0552218622109184,-0.0655215575959184,0.106552352235714,-0.11964870617551,-0.025933069122449,-0.0713763745836735,-0.551623117040816,-0.551623117040816,-0.637290105540816,-0.590925173591837,-0.759240656244898,-0.624887194086735,-0.512741165859184,-0.672645419540816,-0.227942178255102,0.00222514306428571,0.0501484363635714,-0.644553019877551,-0.602277686903775,-0.746965050061224,-0.0803062932418367,-0.206799897387755,-0.133140787861224,-0.651678738438776,-0.71301119722449,-0.613247427239796,-0.0791338620408163,-0.190126749746939,-0.0571854572010204,-0.587388770142857,-0.607125301544898,-0.696518487918367,-0.78102802627551
"9","WALKING_DOWNSTAIRS",9,0.278204041714286,-0.0226911079067143,-0.110401785091837,0.67937171244898,-0.00825815139061224,0.112918427054082,0.0625541265632653,0.0195467108320408,-0.00385747139061224,-0.0265709311667347,-0.0780538981622449,0.0992343097883674,-0.0733487258989796,-0.0294582355204082,-0.0556199236520408,-0.558147411609184,-0.558147411609184,-0.63777153494898,-0.601189296354388,-0.757363231397959,-0.62616384535102,-0.520007095346939,-0.672984334744898,-0.219774786556122,0.0363277065342857,0.0567376550539082,-0.649924316602041,-0.605596708,-0.745307969704082,-0.0726616145459184,-0.233913862504082,-0.117415915116327,-0.656060169306122,-0.713359619255102,-0.624935906959184,-0.0816625083561224,-0.186680796335714,-0.0610613037142857,-0.585806284785714,-0.60848334877551,-0.698612974887755,-0.771705183193878
"10","SITTING",10,0.270344205204082,-0.0261943660097959,-0.110702585328571,0.676526184795918,-0.0158794067354082,0.0926565280091837,0.0823583875918367,0.0335130544613265,-0.0075053647722449,-0.00984490903204082,-0.0660965110316327,0.0830673877663265,-0.0755461999595918,-0.0573413104112245,-0.0567257957602041,-0.540655378592857,-0.540655378592857,-0.634692069497959,-0.598983381265306,-0.759641055408163,-0.617143321041837,-0.505177023241837,-0.665251881826531,-0.241659930121429,0.0321152561938775,0.0489809700489796,-0.650314674284694,-0.602208834734694,-0.742609842704082,-0.0801811045510204,-0.249817487040816,-0.151908065252041,-0.64154539427551,-0.715820531011224,-0.627209011269388,-0.115287594202041,-0.194103459693878,-0.0774901858591837,-0.575684383183673,-0.606347484918367,-0.697716855030612,-0.775355073010204
"11","STANDING",11,0.2676894895,-0.0162992182286735,-0.109286548785714,0.663124269285714,-0.0169249167744898,0.087814544377551,0.0993817164115306,-0.00786269172959184,-0.0240275558936918,-0.0252481513326531,-0.0714373896438776,0.103556818653061,-0.0930533423591837,-0.048294130372449,-0.0489567006418367,-0.536214792285714,-0.536214792285714,-0.630222556091837,-0.580517808471429,-0.756181534081633,-0.611514057112245,-0.509765811743878,-0.660554761581633,-0.245794252157143,0.0105954161112245,0.0443355082061224,-0.643075107200296,-0.603041482972551,-0.739698416683673,-0.061824667027551,-0.23704159669898,-0.145397777418367,-0.656606002428571,-0.706113430983674,-0.62330262255102,-0.0981446034469388,-0.176138290569388,-0.0769532158481531,-0.57791933344898,-0.601191890080612,-0.700856018857143,-0.775359772734694
"12","LAYING",12,0.276400025071429,-0.0163486358061225,-0.102717218257143,0.658709726326531,-0.0176086362030612,0.086288923274898,0.0617454220785714,0.00319816632438776,-0.00765604950781633,-0.0240764270857143,-0.082393264777551,0.116430131846939,-0.0874061888571429,-0.0466780586285714,-0.0461356595163265,-0.542126353858163,-0.542126353858163,-0.636841858030612,-0.593055147968367,-0.762719926632653,-0.618935378632653,-0.52299484197051,-0.666835496881633,-0.234763201278571,0.0173026623459184,0.0621045852316327,-0.645787835471429,-0.613990014543878,-0.745756024489796,-0.052330347322449,-0.231496486058265,-0.126421451326531,-0.663879474979592,-0.708175689377551,-0.630067512081633,-0.0746327835193877,-0.189390270129592,-0.0872316616042857,-0.590295395561224,-0.615314175663265,-0.708460631428571,-0.782801122857143
"13","WALKING",13,0.27076607255102,-0.0200735567428571,-0.100243718312245,0.668519431734694,-0.0360531267040816,0.0862309437765306,0.0595702359153061,0.0299438276479592,-0.0146314472217347,-0.0503191324305102,-0.0630638767316326,0.0675580614387755,-0.112243532744898,-0.0369504158806122,-0.0667691611408163,-0.524124287867347,-0.524124287867347,-0.639484533902041,-0.558587764905102,-0.76200994377551,-0.61303883672449,-0.500440572189796,-0.658441671377551,-0.263765599335714,-0.00256541995,0.0089557264117347,-0.646643355995918,-0.610823078489796,-0.749768448367347,-0.076825687505102,-0.256298517531633,-0.192702238623571,-0.655170679244898,-0.704831384968367,-0.61924501622449,-0.0976114195163265,-0.197759345687041,-0.0783558146122449,-0.570893445593878,-0.606107477732653,-0.684276172244898,-0.782129019183674
"14","WALKING_UPSTAIRS",14,0.264131220918367,-0.0170263078253469,-0.105072602979592,0.671189954795918,-0.0303562553469388,0.0969033792612245,0.107129775333673,0.0155257815483673,0.00376651380418367,-0.080787627477551,-0.0456037160908163,0.0674746917066327,-0.101448592440816,-0.0396801265122449,-0.0445639541193878,-0.553964754782653,-0.553964754782653,-0.651972780693878,-0.582706776,-0.766953755673469,-0.623771483681633,-0.531571766867347,-0.682991711897959,-0.259091636436122,-0.021756647072449,0.00746140303163265,-0.654263349979592,-0.623450995281633,-0.763608931632653,-0.0808113151729592,-0.250219432,-0.162076226340204,-0.65539845255102,-0.714506681354082,-0.633711502306122,-0.135315598067347,-0.221885256673469,-0.102346447060204,-0.585277707081633,-0.615098934971429,-0.686440899526531,-0.783697365204082
"15","WALKING_DOWNSTAIRS",15,0.276074076897959,-0.017271608487551,-0.105596492357143,0.66522149255102,-0.0255532889806122,0.0951800510397959,0.0715997393214286,-0.0124697048670408,0.013472250010102,-0.0539111697914286,-0.0574694714562245,0.0803258430795918,-0.0745686641204082,-0.0456051131122449,-0.0450951988234694,-0.564571435513265,-0.564571435513265,-0.653092766459184,-0.612055654163265,-0.768590315714286,-0.626290797928571,-0.519069589633673,-0.685434892091837,-0.233107147229592,0.013889548477551,0.0423750432214286,-0.656457113368367,-0.614569549896939,-0.757799016836735,-0.0628194547040816,-0.240416117592857,-0.147900622695918,-0.661906819990816,-0.719438131193878,-0.632378943597959,-0.110644144987755,-0.20084113030102,-0.045705401444898,-0.58539261819898,-0.614478993878571,-0.698851602959184,-0.779789884857143
"16","SITTING",16,0.274314201428571,-0.0133824822366327,-0.108854207540816,0.675374438469388,-0.0324882265408163,0.084428723667551,0.0694489531806122,-0.00166830948061225,-0.00086223773827551,-0.0546732485026531,-0.0512426476258469,0.0899304116438776,-0.0937877218294898,-0.0519341822591837,-0.0390241351642857,-0.566014865043878,-0.566014865043878,-0.649691873571429,-0.615366934061224,-0.766497506326531,-0.629225469568367,-0.525030480142857,-0.688014117571429,-0.19431600530398,-0.000805046253061223,0.0335420964525306,-0.660024236882653,-0.608694686704082,-0.757814389183673,-0.0462325807857143,-0.220487760070408,-0.134392078285714,-0.664008279652041,-0.717243258857143,-0.635782612153061,-0.108748363357143,-0.196711945098265,-0.0441039715510204,-0.596112209653061,-0.616349006164286,-0.700710538567347,-0.778522905071429
"17","STANDING",17,0.279400626428571,-0.014964726244898,-0.103264763918367,0.675237005510204,-0.0236654897734694,0.079853982322449,0.0981236612081633,-0.00100012340540816,-0.0202133309093878,-0.0248464902643878,-0.0808194601632653,0.0752725762984694,-0.0938979310214286,-0.0491407330683673,-0.0573473545469388,-0.572141386791837,-0.572141386791837,-0.659178564163265,-0.629121557173469,-0.774853742755102,-0.642361122234694,-0.530853322163265,-0.699624667673469,-0.199867022141837,0.016038093322449,0.0184634892836735,-0.669211824637755,-0.621058609826531,-0.770997140204082,-0.0443462877959184,-0.17396197887551,-0.118528480634898,-0.672380333938775,-0.724758571938775,-0.647068097958163,-0.0730605562520408,-0.152595326947959,-0.0361788949081633,-0.603354528591837,-0.631082857438775,-0.720331844622449,-0.787331097040816
"18","LAYING",18,0.273260706734694,-0.0175868317918367,-0.1100620175,0.688098651734694,-0.033737577477551,0.0767748053877551,0.0580271468081633,0.00185684038918367,-0.0231124437560408,-0.0131370322095918,-0.0809730222071429,0.0826537046132653,-0.0919113181867347,-0.0491754512653061,-0.0502309370303061,-0.566958577319388,-0.566958577319388,-0.647585118914592,-0.627580412704082,-0.768746949897959,-0.63557460372449,-0.537437982019388,-0.68764010122449,-0.174188502376531,0.0244648931030612,0.0640251347653061,-0.65406444669898,-0.615074866665306,-0.760522370673469,-0.0257619850071429,-0.202144740841837,-0.142693714000714,-0.670540087193878,-0.722752017642857,-0.650667645212245,-0.0945440973244898,-0.141926311653061,-0.0223373860346939,-0.599227684877551,-0.61693897515,-0.711215622447959,-0.784423179387755
"19","WALKING",19,0.272555752857143,-0.0179092639919286,-0.111566546357143,0.693162434285714,-0.0251752576794286,0.0733481596518061,0.0762269067612245,0.0346764950357143,-0.00373832603602041,-0.0466752708531633,-0.0618068345469388,0.0845436851318367,-0.0873354039428571,-0.0380854879540816,-0.0520926833795918,-0.565502974021429,-0.565502974021429,-0.653476167428663,-0.62577029525102,-0.768255028122449,-0.63012664844898,-0.53515696094898,-0.681925294408163,-0.172798604173878,0.0163792591326531,0.046084270355102,-0.655263969765306,-0.626527179265306,-0.760737164897959,-0.0269355651663265,-0.218188112626531,-0.155518456805102,-0.673107697846939,-0.716398095908163,-0.657084330102041,-0.120730933602041,-0.154673260233673,-0.0113059811285714,-0.591529369042857,-0.620290586642857,-0.71062000105102,-0.783697084367347
"20","WALKING_UPSTAIRS",20,0.269364080714286,-0.0179816697102041,-0.108856917326531,0.706158853877551,-0.0296523526196939,0.0667911333354082,0.0942456356734694,-0.000920140088948981,0.00661384174295918,-0.0590585341959184,-0.0700553815673469,0.0895120520214286,-0.0880117190642857,-0.048852968105102,-0.0588781494886735,-0.575501155407143,-0.575501155407143,-0.656746579804082,-0.627393320928571,-0.774290050571429,-0.638109197877551,-0.540866395670408,-0.695033314173469,-0.201247535530408,0.0224967480642857,0.018694166899898,-0.660178015571429,-0.629474776957143,-0.761091698877551,-0.043093864,-0.227815436985714,-0.127239986422449,-0.684290007479592,-0.724977312989796,-0.65408618722449,-0.112237361257041,-0.171116237202245,-0.0514809097030612,-0.602508478030612,-0.626294010565306,-0.722058053938776,-0.787071943357143
"21","WALKING_DOWNSTAIRS",21,0.277499502755102,-0.0187746870857143,-0.116032192632653,0.706428626836735,-0.0318456995323602,0.0657149927091837,0.0783656803877551,-0.00160763303869388,0.00235412035193878,-0.0486829201377551,-0.0627598631040816,0.0956427555223469,-0.0922865469693877,-0.0403514955255102,-0.070761882744898,-0.575816494872449,-0.575816494872449,-0.654727599083674,-0.626602398608163,-0.771898772112245,-0.629778770591837,-0.540513417535714,-0.678340161591837,-0.176005323438776,0.0194897410285714,0.0956448462763878,-0.654958739377551,-0.627380104547959,-0.752689475877551,-0.0390067889285714,-0.226048465587449,-0.119400607009184,-0.669999558282653,-0.723550629632653,-0.656243419428571,-0.11611116405,-0.134071618867347,-0.0545789604423469,-0.596033738471429,-0.615756693571429,-0.718397467418367,-0.78139731077551
"22","SITTING",22,0.27249367444898,-0.0180178841942959,-0.106064288785714,0.709335211530612,-0.031770468377551,0.0587072425180612,0.0543618698765306,0.0233412540514796,-0.0206318544919388,-0.0519200064959184,-0.0586297803243878,0.103402574573469,-0.103060807933673,-0.0335920053163265,-0.0761947446857143,-0.586947193710204,-0.586947193710204,-0.658636450673469,-0.630548537778571,-0.775024513704082,-0.644378301363265,-0.550541877271429,-0.686200350255102,-0.184194322635408,0.0391905108112245,0.0723352148007398,-0.662542254867245,-0.63061830115,-0.752469555059184,-0.0271325039495918,-0.205428083244898,-0.116375353617347,-0.685297693722449,-0.723856862132653,-0.66350821215,-0.125306473060714,-0.16904199545,-0.0623622690826531,-0.599384341489796,-0.619475231276531,-0.721772879193878,-0.786069434081633
"23","STANDING",23,0.27467216455102,-0.0162241158652702,-0.105461067418367,0.725105160918367,-0.0182812310602041,0.0645161950602041,0.0756291628714286,-0.012947158454898,-0.0279258306461327,-0.0413943216530612,-0.073413363005102,0.106423697346939,-0.0949862856295918,-0.030675584180102,-0.0454330944755102,-0.587855561824245,-0.587855561824245,-0.660654399104082,-0.631348502714286,-0.778334946836735,-0.644042747102041,-0.552074156145918,-0.686431923795918,-0.158348018061225,0.036328054205102,0.0659110715285714,-0.662523102112245,-0.629413069153061,-0.755192897145918,0.000142146211224491,-0.198630875466327,-0.0737013553622449,-0.6850893535,-0.727897757595918,-0.665281227591837,-0.125558166494898,-0.192171646062653,-0.03893883825,-0.605084082897143,-0.61943332072449,-0.723113502173469,-0.788006241591837
"24","LAYING",24,0.282112094989796,-0.0181011448094898,-0.120538452373469,0.715521097142857,-0.0136899974816327,0.0720702767022449,0.0987270991295918,0.0237892362802041,-0.0160308858800204,-0.0265249396855918,-0.0749334855647959,0.111938708557551,-0.0909357659567347,-0.0230192767755102,-0.0519972815918367,-0.577983616142857,-0.577983616142857,-0.656469616173469,-0.623719823542857,-0.773610113979592,-0.642333355529592,-0.551558330854082,-0.689961380510204,-0.19754645985102,-0.00192336775204082,0.058703900520102,-0.659911885653061,-0.634155266060204,-0.759129669795918,-0.0348140991790204,-0.217864001030612,-0.129276327541837,-0.671727031418367,-0.72473579544898,-0.661425092163265,-0.146068752611224,-0.168250879261224,-0.0707695603510204,-0.60530415655102,-0.623690558918367,-0.717853698489796,-0.786963280897959
"25","WALKING",25,0.278729551663265,-0.0213204167347959,-0.110942219459184,0.700324482142857,-0.0110267303132653,0.0679777640928571,0.0539044616139796,0.00793070943309184,0.0257240799790612,-0.068429875077551,-0.0476841411255102,0.0981512682632653,-0.083201175472449,-0.0470770281602041,-0.0587304842018367,-0.569920831857143,-0.569920831857143,-0.652573082689796,-0.618529861285714,-0.774448627653061,-0.63120518894898,-0.542338760803061,-0.68828978355102,-0.178407979530408,0.00244360668979592,0.0605184414817347,-0.654298476409184,-0.630212119091837,-0.758098647755102,-0.0570273967397959,-0.222849929530612,-0.134557753903061,-0.676108230530612,-0.723588314061224,-0.655104244469388,-0.106938257168367,-0.191027902347959,-0.0872829663530612,-0.604522143970408,-0.621386174746939,-0.71209996955102,-0.793132155571429
"26","WALKING_UPSTAIRS",26,0.271234017755102,-0.0188347481765306,-0.108884954908163,0.681912435306122,-0.0251605416912245,0.0912974265112245,0.0771403187234694,0.0213286682306122,0.00298887891561224,-0.0396961258612245,-0.0816550005922449,0.0747500249039796,-0.0762094893426531,-0.0565624435765306,-0.0360342559255102,-0.567364838133673,-0.567364838133673,-0.650573487395918,-0.617533405407143,-0.771725585693878,-0.628137066479592,-0.534840401278571,-0.687502611173469,-0.197589082966327,0.00115641186632653,0.054000090820102,-0.652510414893878,-0.62017066074898,-0.752026519928571,-0.0587258643265306,-0.20593615862551,-0.0982158343163265,-0.678047999710204,-0.718558577085714,-0.649345135520408,-0.149759694080714,-0.155791149765,-0.0949737276081633,-0.597967459233673,-0.622729480038775,-0.710156431942857,-0.793439978877551
"27","WALKING_DOWNSTAIRS",27,0.261970687714286,-0.0166730212916327,-0.100827842010204,0.658271116663265,-0.0143022535081633,0.101061946434694,0.134478406476531,-0.0140602705744898,-0.0123165008571429,-0.0101355333204082,-0.108081371830816,0.0811503170030612,-0.0868766175204082,-0.0514015057153061,-0.0472497523853061,-0.570297843959184,-0.570297843959184,-0.659186969510204,-0.624339608052041,-0.775183207469388,-0.622439949004082,-0.541058963777551,-0.680292855968367,-0.189394016877551,0.0216539749265306,0.0645590542183673,-0.656852908673469,-0.626655889872449,-0.754524811642857,-0.0545352327336735,-0.214445048283469,-0.132761100856122,-0.690389532573571,-0.719867234459184,-0.649763286469388,-0.121219304439796,-0.138586742234694,-0.0412190630122449,-0.590376332697959,-0.622491625373878,-0.722276373509388,-0.791615368826531
"28","SITTING",28,0.276123608510204,-0.0150904510339561,-0.10690426022449,0.657456575826531,0.00324308676948979,0.0956929110306122,0.0805007404255102,0.00815366388204082,-0.0188812498056122,-0.00366365659489796,-0.103367614561224,0.0923557318642857,-0.111654152579592,-0.0159556933030612,-0.0694881762397959,-0.55774685721898,-0.55774685721898,-0.645726703663265,-0.613409808492857,-0.76477552444898,-0.610373801361224,-0.537933978142857,-0.676235571387755,-0.175018488509184,0.0396218362061225,0.0718327647459184,-0.640017302795918,-0.625151184357143,-0.745942862142857,-0.0394415001723469,-0.21581913050602,-0.100678696836735,-0.680878393253061,-0.708550340091837,-0.644109603964286,-0.0931351436097551,-0.14687011067449,-0.0558183144717347,-0.575314889591837,-0.604319299561225,-0.707530390653061,-0.770237333534898
"29","STANDING",29,0.278006935816327,-0.0173233922591837,-0.110353565704082,0.641326931153061,0.0191294704030612,0.101022855576939,0.0586090034071429,0.013387711319051,-0.0128609991326531,-0.00854053585040816,-0.0930367277734694,0.093468465937551,-0.104570962959184,-0.0453596722357143,-0.0669101115506122,-0.563138737510204,-0.563138737510204,-0.653413418683673,-0.610130753853061,-0.770232553979592,-0.619435170765306,-0.549432734377551,-0.677458832867347,-0.198600572692857,0.0335858715434694,0.0491132751408163,-0.643671182628571,-0.634136184816326,-0.752293429428571,-0.0454825594361224,-0.193118199728571,-0.124066032358469,-0.670617562153061,-0.718527646938775,-0.639935358855102,-0.0847223958887755,-0.168266804238776,-0.0567903112673469,-0.588668886683673,-0.606655091882653,-0.706148137744898,-0.774650445673469
"30","LAYING",30,0.278824085204082,-0.0201789328982347,-0.109028543402041,0.666186733010204,0.0129901321255102,0.0900976489316326,0.0631323710066327,0.0148794034307143,0.00709310625543878,-0.0331066365214286,-0.0780885655777551,0.102692472173469,-0.107259794935714,-0.050447844055102,-0.0684279523809184,-0.553828510091837,-0.553828510091837,-0.644772147163265,-0.615090356206122,-0.766714302142857,-0.61470748272449,-0.540869614655102,-0.674286429571429,-0.200922305388776,0.0320863596663265,0.0491161581938776,-0.637957811533673,-0.62574685629898,-0.747508200122449,-0.0433234504102041,-0.224109048377551,-0.105257900277551,-0.676880979510204,-0.720852470918367,-0.638902478989796,-0.104134934782245,-0.175449563167347,-0.0557677089438776,-0.589255667663265,-0.60326163187449,-0.71698644322449,-0.77893385510102
